 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Hint_Level_24,Plastic surgery center poster is on the back,Tấm poster của trung tâm thẩm mỹ ,성형외과 센터 포스터는 뒷면에 있다,整形外科中心海报在背面,Плакат центра пластической хирургии на обороте,Il poster del centro di chirurgia plastica è sul retro,L'affiche du centre de chirurgie plastique est au dos,整形外科センターのポスターは裏側にあります,El cartel del centro de cirugÃ­a plÃ¡stica estÃ¡ en la parte posterior.,Das Poster des Zentrums fÃ¼r plastische Chirurgie befindet sich auf der RÃ¼ckseite
Hint_Level_25,The shadow in the right,Cái bóng ngoài cùng bên phải,오른쪽의 그림자,右边的阴影,Тень справа,L'ombra a destra,L'ombre dans la droite,右側の影,La sombra en la derecha,Der Schatten rechts
Hint_Level_26,slide the window blinds to let the light in,Mở rèm để ánh sáng chiếu rọi,빛이 들어오도록 창문 블라인드를 밀자,滑动百叶窗让光线进来,"сдвиньте оконные жалюзи, чтобы впустить свет",Fai scorrere le tapparelle per far entrare la luce,faites glisser les stores pour laisser entrer la lumière,ブラインドをスライドさせてライトを入れます,desliza las persianas de la ventana para que entre la luz,"verschiebe die Jalousien, um das Licht hereinzulassen"
Hint_Level_27,Look at the size of those number,Hãy nhìn vào kích thước các số,저 숫자의 크기를 보라,看看这些数字的大小,Посмотрите на размер этого числа,Guarda la dimensione di quei numeri,Regarde la taille de ces nombres,それらの数のサイズを見てください,Mira el tamaÃ±o de esos nÃºmeros,Schau dir die GrÃ¶ÃŸe dieser Zahl an
Hint_Level_28,Check inside of the ATM,Bên trong cây ATM có gì,ATM 내부 확인,检查自动柜员机内部,Проверить внутри банкомата,Controlla all'interno del bancomat,Vérifiez à l'intérieur du guichet automatique,ATM の内部を確認してください,Verifica dentro del cajero automÃ¡tico,ÃœberprÃ¼fe das Innere des Geldautomaten
Hint_Level_29,The stain on the monkey face,Miệng chú khỉ có vệt bánh,원숭이 얼굴의 얼룩,猴子脸上的污渍,Пятно на морде обезьяны,La macchia sulla faccia della scimmia,La tache sur le visage de singe,猿の顔の染み,La mancha en la cara del mono,Der Fleck im Affengesicht
Hint_Level_30,The painter will have messy shirt,Kẻ vẽ bậy áo sẽ lem nhem màu sơn,화가는 지저분한 셔츠를 입을 것이다,画家会有凌乱的衬衫,У художника будет грязная рубашка,Il pittore avrà la camicia in disordine,Le peintre aura une chemise en désordre,画家は散らかったシャツを着ます,El pintor tendrÃ¡ la camisa desordenada.,Der Maler wird ein unordentliches Hemd haben
Hint_Level_31,This old man is hidding something,Ông lão đang che giấu gì?,이 노인은 뭔가를 숨기고 있다,这老头子有事隐瞒,Этот старик что-то скрывает,Questo vecchietto sta nascondendo qualcosa,Ce vieil homme cache quelque chose,この老人は何かを隠しています,Este viejo esconde algo,Dieser alte Mann versteckt etwas
Hint_Level_32,The fox love BBQ,Con cáo thích thịt được nướng chín,여우 사랑 BBQ,狐狸爱烧烤,Лиса любит барбекю,La volpe ama il barbecue,Le renard aime le barbecue,キツネ大好き BBQ,El zorro ama la barbacoa,Der Fuchs liebt BBQ
Hint_Level_33,The dog will take the ball to his owner,Chú chó sẽ chỉ mang bóng tới chỗ chủ nhân của mình,개가 주인에게 공을 가져갈 것이다,狗会把球拿给主人,Собака отнесет мяч своему хозяину,Il cane porterà la palla al suo padrone,Le chien apportera la balle à son maître,犬はボールを飼い主に持っていきます,El perro le llevarÃ¡ la pelota a su dueÃ±o.,Der Hund bringt den Ball zu seinem Besitzer
Hint_Level_34,Tattoo under the shirt ,Hình xăm dưới áo,셔츠 아래 문신,衬衫下面的纹身,Тату под рубашкой,Tatuaggio sotto la maglietta,Tatouage sous la chemise,シャツの下のタトゥー,Tatuaje debajo de la camiseta,Tattoo unter dem Shirt
Hint_Level_35,What is behind that locking door,Có gì sau cửa đang khóa,그 잠그는 문 뒤에 무엇이 있는가,那扇锁着的门后面是什么,Что за этой запирающейся дверью,Cosa c'è dietro quella porta chiusa a chiave?,Qu'est-ce qu'il y a derrière cette porte de verrouillage,その施錠ドアの後ろには何がありますか,QuÃ© hay detrÃ¡s de esa puerta cerrada,Was verbirgt sich hinter dieser abschlieÃŸbaren TÃ¼r
Hint_Level_36,Something behind the painting,Có thứ ẩn sau bức tranh,그림 뒤에 무언가,画背后的东西,Что-то за картиной,C'è qualcosa dietro il dipinto,Quelque chose derrière la peinture,絵の裏にある何か,Algo detrÃ¡s de la pintura,Etwas hinter dem GemÃ¤lde
Hint_Level_37,Yellow man's shoes lace fall off and Green man is pulling red man hand,Dây giày của áo vàng bị tụt và Áo xanh đang kéo tay áo đỏ,노란색 남자의 신발 레이스 떨어지고 녹색 남자가 빨간 사람 손을 당기고있다,黄色人的鞋子蕾丝秋天和绿色人拉红色人手,Обувь желтого человека кружева падение и зеленый человек тянет красный человек рука,La pizzo di scarpe dell'uomo giallo cade e l'uomo verde sta tirando la mano di uomo rosso,Chaussures de l'homme jaune tombe en dentelle tombe et l'homme vert tire la main de l'homme rouge,黄色い男の靴レースが落ちると緑の男が赤い男の手を引っ張っています,Los zapatos del hombre amarillo encaje se caen y el hombre verde está tirando de la mano del hombre rojo,Die Schuhe des gelben Mannes Spitze fallen ab und grüner Mann zieht rote Hand Hand
Hint_Level_37_2,,,그린 맨이 레드 맨 손을 당기고 있다,绿人拉着红人的手,Зеленый человек тянет за руку красного человека,L'uomo verde sta tirando la mano dell'uomo rosso,L'homme vert tire la main de l'homme rouge,緑の男は赤の男の手を引っ張っています,El hombre verde estÃ¡ tirando de la mano del hombre rojo,GrÃ¼ner Mann zieht an der roten Hand des Mannes
Hint_Level_38,Monster will tranform when they meet water,Thủy quái gặp nước sẽ biến hình,몬스터는 물을 만나면 변신한다,怪物遇到水会变形,Монстр трансформируется при встрече с водой,Il mostro si trasformerà quando toccherà l'acqua,Le monstre se transformera lorsqu'il rencontrera de l'eau,モンスターは水に出会うと変身します,El monstruo se transformarÃ¡ cuando se encuentren con el agua.,"Monster werden sich verwandeln, wenn sie auf Wasser treffen"
Hint_Level_39,What is inside that lady bag,Có gì trong túi người phụ nữ,그 레이디 가방 안에는 무엇이 들어 있는가,那个女士包里面是什么,Что внутри этой дамской сумки,Cosa c'è dentro quella borsa da donna?,Qu'est-ce qu'il y a à l'intérieur de ce sac de dame,その女性のバッグの中身は何ですか,QuÃ© hay dentro de ese bolso de seÃ±ora,Was ist in dieser Damentasche?
Hint_Level_40,The sun is above everything,Mặt trời đứng trên vạn vật,태양은 모든 것 위에 있다,太阳高于一切,Солнце превыше всего,Il sole è sopra ogni cosa,Le soleil est au dessus de tout,太陽は何よりも上にあります,El sol estÃ¡ por encima de todo,Die Sonne steht Ã¼ber allem
Hint_Level_41,"He owns an expensive car, expensive necklace and luxury watch","Anh ta sở hữu con xe đắt đỏ, vòng cổ xịn xò và đồng hồ sang trọng","그는 값 비싼 자동차, 비싼 목걸이 및 고급 시계를 소유하고 있습니다.",他拥有一辆昂贵的汽车，昂贵的项链和豪华手表,"Он владеет дорогой автомобиль, дорогим ожерельем и роскошными часами","Possiede un'auto costosa, collana costosa e orologio di lusso","Il possède une voiture chère, un collier coûteux et une montre de luxe",彼は高価な車、高価なネックレスと高級時計を所有しています,"Él es dueño de un caro caro, collar caro y reloj de lujo.","Er besitzt ein teures Auto, teure Halskette und Luxusuhr"
Hint_Level_41_2,,,저 경비 목걸이 좀 봐,看看那条费用项链,Посмотри на это дорогое ожерелье,Guarda che collana costosa,Regarde ce collier de dépenses,その費用のネックレスを見てください,Mira ese collar caro,Schau dir diese teure Halskette an
Hint_Level_41_3,,,저 명품시계 좀 봐,看看那块豪华手表,Посмотри на эти роскошные часы,Guarda quell'orologio di lusso,Regarde cette montre de luxe,その高級時計を見てください,Mira ese reloj de lujo,Schau dir diese Luxusuhr an
Hint_Level_42,The wallet inside that woman purse seem weird,Chiếc ví trong túi cô gái nhìn thật lạ,그 여자 지갑 속 지갑이 이상해,那个女人钱包里面的钱包看起来很奇怪,Кошелек в этой женской сумочке кажется странным,Il portafoglio all'interno di quella borsa da donna sembra strano,Le portefeuille à l'intérieur de ce sac à main de femme semble bizarre,その女性の財布の中の財布は奇妙に見える,La billetera dentro de ese bolso de mujer parece rara,Die Brieftasche in dieser GeldbÃ¶rse sieht komisch aus
Hint_Level_43,"Cover the sun, bring back the night","Che đi mặt trời, đưa ban đêm trở lại",태양을 가리고 밤을 되돌려,遮住太阳，带回黑夜,"Закройте солнце, верните ночь","Copri il sole, riporta la notte","Couvre le soleil, ramène la nuit",太陽を覆い、夜を取り戻す,"Cubre el sol, trae de vuelta la noche","Bedecke die Sonne, bringe die Nacht zurÃ¼ck"
Hint_Level_44,That teddy bear seem suspicious,Có gì trong chú gấu bông,그 테디베어는 수상한 것 같아,那个泰迪熊看起来很可疑,Этот плюшевый мишка кажется подозрительным,Quell'orsacchiotto sembra sospetto,Cet ours en peluche semble suspect,あのテディベアは怪しいようです,Ese osito de peluche parece sospechoso,Dieser TeddybÃ¤r scheint misstrauisch zu sein
Hint_Level_45,A,A,A,A,A,A,A,A,A,A
Hint_Level_46,Turn off the light to see diamond shine bright,Tắt đèn đi để kim cương sáng trong bóng tối,다이아몬드가 밝게 빛나는 것을 보려면 불을 꺼라,关灯看钻石闪耀,"Выключите свет, чтобы увидеть ярко сияющий бриллиант",Spegni la luce per vedere il diamante brillare luminoso,Éteignez la lumière pour voir le diamant briller,ライトをオフにして、ダイヤモンドが明るく輝くのを確認,Apaga la luz para ver el diamante brillar,"Schalte das Licht aus, um den Diamant hell leuchten zu sehen"
Hint_Level_47,Shave the sheeps,Cạo lông cho các bé cừu,양털을 깎아라,给羊剃毛,Брить овец,Tosa le pecore,Raser les moutons,羊を剃る,Afeitar las ovejas,Rasiere die Schafe
Hint_Level_48,Switch to red light,Đổi màu đèn sang đỏ,빨간불로 바꿔라,切换到红灯,Переключитесь на красный свет,Fai diventare rosso il semaforo,Passer au feu rouge,赤信号に切り替えます,Cambiar a luz roja,Auf rotes Licht umschalten
Hint_Level_49,D,D,D,D,D,D,D,D,D,D
Hint_Level_50,"Check the top, the bottom left and the bottom right of the cave","Soi phía trên, góc trái, góc dưới bên phải hàng động",맨 위로 왼쪽 하단 및 바로 동굴의 오른쪽 하단을 확인하십시오.,检查顶部，左下角和窗的右下角,"Проверьте верх, левое левое и нижнее справа от пещеры","Controlla la parte superiore, in basso a sinistra e in basso a destra della grotta","Vérifiez le haut, le bas à gauche et le bas droit de la grotte",洞窟の上、左下左右の右下を確認してください,"Compruebe la parte superior, la parte inferior izquierda y la parte inferior derecha de la cueva","Überprüfen Sie die Oberseite, den Boden links und unten rechts in der Höhle"
Hint_Level_50_2,,,왼쪽 하단을 확인하라,检查左下角,Проверьте внизу слева,Controlla in basso a sinistra,Vérifiez en bas à gauche,左下を確認,Comprueba la parte inferior izquierda,ÃœberprÃ¼fe unten links
Hint_Level_50_3,,,우측 하단을 확인하라,检查右下角,Проверьте внизу справа,Controlla in basso a destra,Vérifiez en bas à droite,右下を確認,Comprueba la parte inferior derecha,ÃœberprÃ¼fe unten rechts
Hint_Level_51,Change Secretary's outfit to find the stalker,Thay đồ cho cô thư ký để tìm kẻ nhìn lén,스토커를 찾기 위해 비서의 복장을 바꾸자,改变秘书的服装找到跟踪者,"Смените костюм секретаря, чтобы найти сталкера",Cambia l'abito del segretario per trovare lo stalker,Changer la tenue du secrétaire pour trouver le harceleur,ストーカーを見つけるために秘書の衣装を変更,Cambia el atuendo de la secretaria para encontrar al acosador.,"Ã„ndere das Outfit des SekretÃ¤rs, um den Stalker zu finden"
Hint_Level_52,What is behind the steam,Phía sau làn hơi nước,증기 뒤에 무엇이 있는가,蒸汽背后是什么,Что стоит за паром,Cosa c'è dietro il vapore?,Qu'est-ce qui se cache derrière la vapeur,蒸気の背後にあるもの,QuÃ© hay detrÃ¡s del vapor,Was steckt hinter dem Dampf
Hint_Level_53,The witch in the middle seem unusual ,Phù thủy ở giữa nhìn thật khả nghi,중간의 마녀가 이상해 보인다,中间的女巫似乎不寻常,Ведьма посередине кажется необычной,La strega al centro sembra strana,La sorcière au milieu semble inhabituelle,真ん中の魔女は珍しいようです,La bruja del medio parece inusual,Die Hexe in der Mitte sieht ungewÃ¶hnlich aus
Hint_Level_54,The girl in the left,Cô gái ngoài cùng bên trái,왼쪽의 소녀,左边的女孩,Девушка слева,La ragazza a sinistra,La fille à gauche,左の少女,La niña de la izquierda,Das Mädchen in der linken Seite
Hint_Level_55,Behind the cloud,Có gì sau đám mây,구름 뒤,云的背后,За облаком,Dietro la nuvola,Derrière le nuage,雲の後ろ,DetrÃ¡s de la nube,Hinter der Wolke
Hint_Level_56,Smoke awaken Mr.Bear,Khói lửa đánh thức chú gấu,연기를 깨워라 Mr.Bear,烟雾唤醒熊先生,Дым пробуди мистера Медведя,Il fumo risveglia Mr.Bear,La fumée réveille Mr.Bear,煙がクマさんを目覚めさせる,El humo despierta al seÃ±or oso,Rauch weckt Mr.BÃ¤r
Hint_Level_57,The man in middle is hidding his hand,Kẻ ở giữa đang giấu gì trong tay,가운데 남자가 손을 숨기고 있다,中间的人藏起了他的手,Мужчина посередине прячет руку,L'uomo in mezzo nasconde la mano,L'homme au milieu cache sa main,真ん中の男が手を隠している,El hombre del medio esconde su mano,Der Mann in der Mitte versteckt seine Hand
Hint_Level_58,Piece on the right,Mảnh ngoài cùng bên phải,오른쪽의 조각,右边的一块,Кусок справа,Pezzo a destra,Pièce à droite,右側の作品,Pieza a la derecha,Stück auf der rechten Seite
Hint_Level_59,Check her bag and the stuff on her finger,Kiểm tra túi và thứ trên ngón tay cô gái,그녀의 가방과 그녀의 손가락에 물건을 확인하십시오,检查她的包和她的手指上的东西,Проверьте ее сумку и вещи на палец,Controlla la sua borsa e la roba sul suo dito,Vérifier son sac et le truc sur son doigt,彼女のバッグと彼女の指の上のものをチェックしてください,Revisa su bolsa y las cosas en su dedo.,Überprüfen Sie ihre Tasche und die Sachen an ihrem Finger
Hint_Level_59_2,,,그녀의 가방에 무엇이 들어 있는가,她的包里有什么,Что в ее сумке,Cosa c'è nella sua borsa?,Qu'est-ce qu'il y a dans son sac,彼女のバッグには何が入っていますか,QuÃ© hay en su bolso,Was ist in ihrer Tasche
Hint_Level_60,Cinderella spell expired in the midnight,Lọ lem 12h sẽ biến hình,신데렐라 주문이 자정에 만료되었다,灰姑娘咒语在午夜到期,Заклинание Золушки истекло в полночь,L'incantesimo di Cenerentola è scaduto a mezzanotte,Le sort de Cendrillon a expiré à minuit,シンデレラの呪文は深夜に期限切れになりました,El hechizo de Cenicienta expirÃ³ a medianoche,Aschenputtel-Zauber ist um Mitternacht abgelaufen
Hint_Level_61,Snow white love apple,Truyền thuyết rằng bạch tuyết thích ăn táo,백설 공주 사랑 사과,白雪公主爱苹果,Белоснежное яблоко любви,A Biancaneve piace la mela,Pomme d'amour blanche comme neige,白雪姫ラブアップル,Manzana de amor blanca como la nieve,Schneewittchen-Liebesapfel
Hint_Level_62,B,B,B,B,B,B,B,B,B,B
Hint_Level_63,Check both of the gift box,Kiểm tra hộp quà của 2 bé gái,선물 상자를 모두 확인하라,检查两个礼品盒,Проверьте обе подарочные коробки,Controlla entrambe le confezioni regalo,Vérifiez les deux de la boîte-cadeau,両方のギフトボックスをチェック,Marque ambos de la caja de regalo,ÃœberprÃ¼fe beide Geschenkboxen
Hint_Level_64,Mommy is inside the house,Người mẹ đang ở trong nhà ,엄마는 집 안에 있다,妈妈在屋子里,Мама в доме,La mamma è dentro casa,Maman est à l'intérieur de la maison,ママは家の中にいます,Mami estÃ¡ dentro de la casa,Mama ist im Haus
Hint_Level_65,Check the box and behind the curtain,Thử kiểm tra hộp quà và sau rèm xem,상자와 커튼 뒤에 있는지 확인하십시오,选中盒子和窗帘后面,Установите флажок и за занавесом,Controlla la casella e dietro la tenda,Cochez la case et derrière le rideau,箱をチェックしてカーテンの後ろをチェックしてください,Marque la casilla y detrás de la cortina.,Überprüfen Sie das Kontrollkästchen und hinter dem Vorhang
Hint_Level_65_2,,,상자를 확인하라,选中该框,Установите флажок,Controlla la scatola,Cochez la case,チェックボックスをオンにします,Revisa la caja,Aktiviere das KontrollkÃ¤stchen
Hint_Level_66,Help the man get through the barrier,Giúp anh chàng vượt rào,남자가 장벽을 통과하도록 도와주자,帮助男人通过障碍,Помогите мужчине преодолеть барьер,Aiuta l'uomo a superare la barriera,Aide l'homme à franchir la barrière,男が障壁を乗り越えるのを手伝ってください,Ayuda al hombre a atravesar la barrera.,"Hilf dem Mann, die Barriere zu Ã¼berwinden"
Hint_Level_67,"Check her hat, her shirt and the man's bag","Kiểm tra mũ, áo cô gái và túi của chàng trai","그녀의 모자, 그녀의 셔츠와 남자의 가방을 확인하십시오.",检查她的帽子，她的衬衫和男人的包,"Проверить ее шляпу, ее рубашку и мужская сумка","Controlla il suo cappello, la sua camicia e la borsa dell'uomo","Vérifiez son chapeau, sa chemise et son sac de l'homme",彼女の帽子、彼女のシャツと男のバッグをチェック,"Revisa su sombrero, su camisa y la bolsa del hombre.","Überprüfen Sie ihren Hut, ihr Hemd und die Tasche des Mannes"
Hint_Level_67_2,,,그녀의 셔츠를 확인하라,检查她的衬衫,Проверьте ее рубашку,Controlla la sua maglietta,Vérifiez sa chemise,彼女のシャツをチェック,Revisa su camisa,ÃœberprÃ¼fe ihr Hemd
Hint_Level_67_3,,,그 남자 가방을 확인하라,检查那个男人的包,проверь эту мужскую сумку,Controlla quella borsa da uomo,vérifier ce sac d'homme,その男のバッグを確認,revisa esa bolsa de hombre,Ã¼berprÃ¼fe die MÃ¤nnertasche
Hint_Level_68,Who is hidding behind the bush,Có ai trên bụi cây,덤불 뒤에 숨어 있는 사람,谁躲在灌木丛后面,Кто прячется за кустом,Chi si nasconde dietro il cespuglio?,Qui se cache derrière le buisson,茂みの後ろに隠れているのは誰ですか,QuiÃ©n se esconde detrÃ¡s del arbusto,Wer versteckt sich hinter dem Busch
Hint_Level_69,Prince like elegant girl,"Gu của hoàng tử là thanh lịch 
B",우아한 소녀 같은 왕자님,喜欢优雅少女的王子,Принц как изящная девушка,Principe come una ragazza elegante,Prince comme une fille élégante,エレガントな女の子のような王子,PrÃ­ncipe como una chica elegante,Prinz wie ein elegantes MÃ¤dchen
Hint_Level_70,Break that fish tank,Hãy đập vỡ bình cá,그 어항을 부숴라,打破那个鱼缸,Разбейте этот аквариум,Rompi quell'acquario,Briser cet aquarium,その水槽を壊す,Rompe esa pecera,Zerbrich das Aquarium
Hint_Level_71,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9,9 - 0 = 9
Hint_Level_72,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1,6 = 7 - 1
Hint_Level_73,Check the chicken pallet,Kiểm tra ổ rơm của gà,치킨 팔레트를 확인하라,检查鸡托盘,Проверьте поддон для курицы,Controlla il pallet di pollo,Vérifiez la palette de poulet,チキンパレットを確認,Revisa la paleta de pollo,ÃœberprÃ¼fe die HÃ¼hnerpalette
Hint_Level_74,Check the photo and the kitchen tablet,Kiểm tra tấm ảnh và bàn bếp,사진과 주방 태블릿을 확인하십시오,检查照片和厨房平板电脑,Проверьте фотографию и кухонную таблетку,Controlla la foto e il tablet della cucina,Vérifiez la photo et la tablette de la cuisine,写真とキッチンタブレットを確認してください,Compruebe la foto y la tableta de la cocina.,Überprüfen Sie das Foto und das Küchentablett
Hint_Level_74_2,,,테이블에 무엇이 있는가,桌子上有什么,Что на столе,Cosa c'è sul tavolo?,Ce qui est sur la table,テーブルの上にあるもの,QuÃ© hay sobre la mesa,Was ist auf dem Tisch
Hint_Level_75,"Check her hand, her jacket and her leg","Kiểm tra tay, áo khoác và chân cô gái","그녀의 손, 재킷과 그녀의 다리를 확인하십시오",检查她的手，夹克和她的腿,"Проверьте ее руку, ее куртку и ее нога","Controlla la mano, la sua giacca e la sua gamba","Vérifier sa main, sa veste et sa jambe",彼女の手、彼女のジャケットと彼女の足をチェックしてください,"Revisa su mano, su chaqueta y su pierna.","Überprüfen Sie ihre Hand, ihre Jacke und ihr Bein"
Hint_Level_75_2,,,그녀는 재킷에 무엇을 가지고 있는가,她的夹克里有什么,Что у нее в куртке,Cosa ha nella giacca?,Qu'est-ce qu'elle a dans sa veste,彼女はジャケットに何を持っていますか,QuÃ© tiene ella en su chaqueta,Was hat sie in ihrer Jacke
Hint_Level_75_3,,,그녀의 다리를 확인하라,检查她的腿,Проверьте ее ногу,Controlla la sua gamba,Vérifiez sa jambe,彼女の足をチェックしてください,Revisa su pierna,ÃœberprÃ¼fe ihr Bein
Hint_Level_76,Shoes must match the outfit ,"Giày cần hợp với trang phục
A",신발은 복장과 일치해야합니다,鞋子必须符合装备,Обувь должна соответствовать наряду,Le scarpe devono corrispondere al vestito,Les chaussures doivent correspondre à la tenue,靴は衣装と一致しなければなりません,Los zapatos deben coincidir con el atuendo,Schuhe müssen mit dem Outfit übereinstimmen
Hint_Level_77,that B look odd,Điểm B kia nhìn có vẻ hơi lạ,B가 이상해 보인다,那 B 看起来很奇怪,что B выглядит странно,Quella B sembra strana,ce B a l'air bizarre,その B は奇妙に見える,ese B se ve raro,das B sieht komisch aus
Hint_Level_78,Fleece look like cloud,những chú cừu trắng như mây,양털은 구름처럼 보인다,羊毛看起来像云,Руно похоже на облако,Il pile sembra una nuvola,La toison ressemble à un nuage,フリースは雲のように見える,El vellÃ³n parece una nube,Fleece sieht aus wie eine Wolke
Hint_Level_79,try to look around the playground,Thử tìm kiếm quanh sân chơi xem,놀이터를 둘러보자,试着环顾一下操场,попробуйте осмотреть детскую площадку,Prova a dare un'occhiata in giro nel parco giochi,essayez de regarder autour de la cour de récréation,遊び場を見回してみてください,intenta mirar alrededor del patio de recreo,versuch dich auf dem Spielplatz umzusehen
Hint_Level_80,Footstep all over the place and dirt is on cat's foot,Vết chân đầy trên đất và vết bẩn đầy chân chú mèo,장소와 먼지가 온통 발자국이 고양이 발에 있습니다.,所有地方和污垢都在猫的脚上,Повсюду по всему месту и грязи на кошке,L'orto tutto il posto e la sporcizia è sul piede del gatto,Le pas sur place et la saleté est sur le pied de chat,場所や汚れの上の足跡は猫の足にあります,Paseos por todo el lugar y la suciedad está en el pie de gato.,Der Schritt überall und den Schmutz befindet sich auf dem Fuß von Katzen
Hint_Level_80_2,,,고양이 발에 달라붙은 것은 무엇인가,什么粘在猫脚上,Что цепляется за кошачью лапку,Cosa è agganciato al piede del gatto?,Qu'est-ce qui s'accroche au pied du chat,猫の足にしがみついているもの,QuÃ© se aferra al pie de gato,Was klebt am KatzenfuÃŸ
Hint_Level_81,You can't charge a man with murder without his weapon,Không có hung khí thì không thể kết tội,무기 없이 살인죄로 기소할 수 없다,没有他的武器，你不能以谋杀罪起诉一个人,Вы не можете обвинить человека в убийстве без его оружия,Non puoi accusare un uomo di omicidio senza l'arma,Vous ne pouvez pas accuser un homme de meurtre sans son arme,あなたは彼の武器なしで殺人で男を起訴することはできません,No se puede acusar a un hombre de asesinato sin su arma,Ohne seine Waffe kann man einen Mann nicht wegen Mordes anklagen
Hint_Level_82,Clean the mirror,Lau sạch vết trên gương,거울 청소,清洁镜子,Очистите зеркало,Pulisci lo specchio,Nettoyer le miroir,鏡を掃除,Limpia el espejo,Reinige den Spiegel
Hint_Level_83,Look around the kitchen,Thử kéo kính lúp quanh bếp xem,주방을 둘러보자,环顾厨房,Осмотрите кухню,Guarda in giro per la cucina,Regardez autour de la cuisine,キッチンを見回す,Mira alrededor de la cocina,Schau dich in der KÃ¼che um
Hint_Level_84,Something is hiding under the chef's hat,Phía sau chiếc mũ nhìn có vẻ đáng ngờ,요리사 모자 아래에 무언가 숨겨져 있다,有什么东西藏在厨师的帽子下,Что-то прячется под шляпой шеф-повара,Qualcosa si nasconde sotto il cappello dello chef,Quelque chose se cache sous la toque du chef,シェフの帽子の下に何かが隠れています,Algo se esconde debajo del gorro de cocinero.,Unter der KochmÃ¼tze versteckt sich etwas
Hint_Level_85,Look around the kitchen,Thử kéo quanh bếp để tìm mảnh thích hợp,주방을 둘러보자,环顾厨房,Осмотрите кухню,Guarda in giro per la cucina,Regardez autour de la cuisine,キッチンを見回す,Mira alrededor de la cocina,Schau dich in der KÃ¼che um
Hint_Level_86,Gene will define hair and eyes color ,Gene di truyền màu tóc và mắt,유전자는 머리카락과 눈을 정의합니다,基因将定义头发和眼睛颜色,Джин определяет волосы и цвет глаз,Gene definisce i capelli e gli occhi,Gene définira la couleur des cheveux et des yeux,遺伝子は髪と目の色を定義します,El gen definirá el pelo y los ojos color.,Gene definiert Haar- und Augenfarbe
Hint_Level_86_2,,,유전자는 눈 색깔을 정의한다,基因将定义眼睛颜色,Джин определит цвет глаз,Il gene determinerà il colore degli occhi,Gene va définir la couleur des yeux,遺伝子は目の色を見つけます,Los genes definirÃ¡n el color de los ojos,Gene werden die Augenfarbe bestimmen
Hint_Level_87,Clean that hand,Lau sạch tay ,그 손을 청소하십시오,清洁那只手,Чистить эту руку,Pulire quella mano.,Nettoyer cette main,その手をきれいにする,Limpia esa mano,Reinigen Sie diese Hand
Hint_Level_88,Flower,Hoa,꽃,花,Цветок,Fiore,Fleur,花,Flor,Blume
Hint_Level_89,Turn PM to AM,"Biến tối thành sáng, vậy là lại sớm rồi",오후를 오전으로 전환,下午转上午,Поверните PM на AM,Trasforma PM in AM,Transformer PM en AM,PM を AM に変える,Cambiar de PM a AM,PN in AM umwandeln
Hint_Level_90,Clean that burnt part on the chicken,Bỏ đi lớp cháy thì chú gà nhìn cũng ngon miệng đấy chứ,닭의 탄 부분을 닦아주어라,清洗鸡肉上烧焦的部分,Очистите подгоревшую часть курицы,Elimina la parte bruciata del pollo,Nettoyez cette partie brûlée sur le poulet,鶏肉の焦げた部分をきれいにする,Limpia esa parte quemada del pollo.,Reinige den verbrannten Teil des Huhns
Hint_Level_91,Erase all the imperfection on her face,Tẩy đi những khuyết điểm trên gương mặt là vịt sẽ hóa thiên nga ,그녀의 얼굴에 있는 모든 불완전함을 지워라,抹去她脸上所有的不完美,Сотри все несовершенства на ее лице,Cancella tutte le imperfezioni sul suo viso,Effacer toutes les imperfections sur son visage,彼女の顔のすべての欠陥を消去,Borra toda la imperfecciÃ³n de su rostro,LÃ¶sche alle Unvollkommenheiten in ihrem Gesicht
Hint_Level_92,They have ID card on their hand,Thứ trong tay họ là giấy tờ chứng minh tuổi,그들은 손에 ID 카드를 가지고 있다,他们手上拿着身份证,У них на руке есть удостоверение личности,Hanno la carta d'identità in mano,Ils ont une carte d'identité en main,手元に ID カードがあります,Tienen una tarjeta de identificaciÃ³n en la mano.,Du hast einen Personalausweis in der Hand
Hint_Level_93,Check behind the curtain,Có gì đằng sau tấm rèm,커튼 뒤를 확인하라,检查窗帘后面,Проверить за занавеской,Controlla dietro le tende,Vérifiez derrière le rideau,カーテンの後ろを確認,Mira detrÃ¡s de la cortina,Schau hinter den Vorhang
Hint_Level_94,"Something is hiding on the hat, the shirt and the shoes","Thứ gì lộ ra khỏi mũ, áo và giày kìa","뭔가 모자, 셔츠와 신발에 숨어있다.",有些东西隐藏在帽子上，衬衫和鞋子,"Что-то прячется в шляпе, рубашке и обувь","Qualcosa si nasconde sul cappello, la maglietta e le scarpe","Quelque chose se cache sur le chapeau, la chemise et les chaussures",帽子、シャツと靴の上に何かが隠れている,"Algo se esconde en el sombrero, la camisa y los zapatos.","Etwas versteckt sich auf den Hut, das Hemd und die Schuhe"
